en_sentence	target_sentence	variety	region	translator
Cooking together brings family members closer.	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔	Urdu (Standard)	South Asia	SACOR_03
My grandmother told me stories.	میری دادی نے مجھے کہانیاں سنائیں۔	Urdu (Standard)	South Asia	SACOR_07
Students gathered in the library.	طلباء لائبریری میں جمع ہوئے۔	Urdu (Standard)	South Asia	SACOR_04
Spices add flavor to traditional dishes.	مصالحے روایتی کھانوں میں ذائقہ بڑھاتے ہیں۔	Urdu (Standard)	South Asia	SACOR_01
The wedding ceremony lasted three days.	شادی کی تقریب تین دن تک چلی۔	Urdu (Standard)	South Asia	SACOR_02
Doctors work long hours to treat patients.	ڈاکٹر مریضوں کا علاج کرنے کے لیے لمبے گھنٹے کام کرتے ہیں۔	Urdu (Standard)	South Asia	SACOR_06
Cricket is a popular sport.	کرکٹ ایک مقبول کھیل ہے۔	Urdu (Standard)	South Asia	SACOR_01
Pollution in cities has become a serious problem.	شہروں میں آلودگی ایک سنجیدہ مسئلہ بن گئی ہے۔	Urdu (Standard)	South Asia	SACOR_09
Children learn best when they are interested.	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔	Urdu (Standard)	South Asia	SACOR_10
Reading books improves vocabulary.	کتابیں پڑھنا ذخیرہ الفاظ بہتر بناتا ہے۔	Urdu (Standard)	South Asia	SACOR_03
Online shopping has become popular.	آن لائن خریداری مقبول ہو گئی ہے۔	Urdu (Standard)	South Asia	SACOR_03
Tea is served to guests as a gesture of hospitality.	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔	Urdu (Standard)	South Asia	SACOR_10
The school organized a science fair.	اسکول نے سائنس میلہ منظم کیا۔	Urdu (Standard)	South Asia	SACOR_09
Education opens doors to opportunities.	تعلیم مواقع کے دروازے کھولتی ہے۔	Urdu (Standard)	South Asia	SACOR_04
Learning a new language requires practice.	نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔	Urdu (Standard)	South Asia	SACOR_01
Digital payments have made transactions faster.	ڈیجیٹل ادائیگیوں نے معاملات تیز کر دیے ہیں۔	Urdu (Standard)	South Asia	SACOR_10
Handicrafts showcase artistic traditions.	دستی کاریاں فنکارانہ روایات دکھاتی ہیں۔	Urdu (Standard)	South Asia	SACOR_03
Traditional music is important for our heritage.	روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔	Urdu (Standard)	South Asia	SACOR_03
