en_sentence	target_sentence	variety	region	translator
We decided to visit the old temple.	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	Balochi (Standard)	South Asia	SACOR_02
Digital payments have made transactions faster.	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	Balochi (Standard)	South Asia	SACOR_04
Respecting elders is an important value.	بزرگاں دا احترام ہک اہم قدر اے۔	Balochi (Standard)	South Asia	SACOR_09
Regular exercise helps maintain good health.	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	Balochi (Standard)	South Asia	SACOR_03
Sports teach teamwork and discipline.	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	Balochi (Standard)	South Asia	SACOR_03
The market was crowded with people.	بازار لوکاں نال بھریا ہویا ہا۔	Balochi (Standard)	South Asia	SACOR_06
The professor wrote equations on the blackboard.	پروفیسر تختے تے مساوات لکھیاں۔	Balochi (Standard)	South Asia	SACOR_09
Train journeys offer scenic views.	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	Balochi (Standard)	South Asia	SACOR_02
Students gathered in the library.	طالب علم لائبریری وچ گڈے تھئے۔	Balochi (Standard)	South Asia	SACOR_05
The bus arrived late.	بس ڈیر نال پہنچی۔	Balochi (Standard)	South Asia	SACOR_01
After finishing his work, he sat down.	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	Balochi (Standard)	South Asia	SACOR_02
Learning a new language requires practice.	نوی زبان سکھن کیتے مشق دی لوڑ اے۔	Balochi (Standard)	South Asia	SACOR_01
Education opens doors to opportunities.	تعلیم موقعاں دے دروازے کولیندی اے۔	Balochi (Standard)	South Asia	SACOR_02
The teacher explained the lesson patiently.	استاد صبر نال سبق سمجھایا۔	Balochi (Standard)	South Asia	SACOR_02
I woke up early this morning.	من اڄ صبح جلدی اٹھیا۔	Balochi (Standard)	South Asia	SACOR_10
Family members support each other during difficult times.	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	Balochi (Standard)	South Asia	SACOR_01
Doctors recommend drinking plenty of water.	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	Balochi (Standard)	South Asia	SACOR_06
People travel long distances to visit religious sites.	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	Balochi (Standard)	South Asia	SACOR_01
Tea is served to guests as a gesture of hospitality.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	Balochi (Standard)	South Asia	SACOR_05
Clear communication prevents misunderstandings.	صاف رابطہ غلط فہمیاں کوں روکیندے۔	Balochi (Standard)	South Asia	SACOR_05
My grandmother told me stories.	میری دادی نے مینوں کہانیاں سنایاں۔	Balochi (Standard)	South Asia	SACOR_03
Children learn best when they are interested.	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	Balochi (Standard)	South Asia	SACOR_09
Birds were chirping in the trees.	پنچھی رکھاں وچ چہچہا رہے ہن۔	Balochi (Standard)	South Asia	SACOR_02
Reading books improves vocabulary.	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	Balochi (Standard)	South Asia	SACOR_07
People celebrate festivals with great joy.	لوک ودی خوشی نال میلے منیندے نیں۔	Balochi (Standard)	South Asia	SACOR_05
She walked slowly through the garden.	اوں باغ وچ آہستہ آہستہ ٹردی۔	Balochi (Standard)	South Asia	SACOR_06
