en_sentence	target_sentence
I woke up early this morning.	مان اڄ صبح جلدي اٿي ويسم.
Tea is served to guests as a gesture of hospitality.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.
Pollution in cities has become a serious problem.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
Eating fresh fruits provides essential vitamins.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.
She cooked delicious biryani for the family.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.
Doctors recommend drinking plenty of water.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
The teacher explained the lesson patiently.	استاد صبر سان سبق وضاحت ڪيو.
The internet connects people across continents.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.
Children learn best when they are interested.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
People celebrate festivals with great joy.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
I woke up early this morning.	مان اڄ صبح جلدي اٿي ويسم.
Traditional music is important for our heritage.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.
She walked slowly through the garden.	هوءَ باغ ۾ آهستي آهستي هلندي.
The school organized a science fair.	اسڪول سائنس ميلو منظم ڪيو.
People travel long distances to visit religious sites.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.
The professor wrote equations on the blackboard.	پروفيسر تختي تي مساوات لکيون.
Handicrafts showcase artistic traditions.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
Sports teach teamwork and discipline.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.
Teachers shape young minds.	استاد نوجوان ذهنن کي شڪل ڏين ٿا.
We decided to visit the old temple.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
Handicrafts showcase artistic traditions.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
Clear communication prevents misunderstandings.	صاف رابطو غلط فهمين کي روڪي ٿو.
Eating fresh fruits provides essential vitamins.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.
Doctors recommend drinking plenty of water.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
Tourism brings revenue to regions with historical sites.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.
The bus arrived late.	بس دير سان پهچي.
Eating fresh fruits provides essential vitamins.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.
The forest is home to many wild animals.	جنگل گهڻن جنگلي جانورن جو گهر آهي.
The school organized a science fair.	اسڪول سائنس ميلو منظم ڪيو.
Respecting elders is an important value.	وڏن کي عزت ڏيڻ هڪ اهم قدر آهي.
Teachers shape young minds.	استاد نوجوان ذهنن کي شڪل ڏين ٿا.
The market was crowded with people.	مارڪيٽ ماڻهن سان ڀريل هو.
The river flows peacefully through the valley.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
Handicrafts showcase artistic traditions.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
Learning a new language requires practice.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.
She cooked delicious biryani for the family.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.
The wedding ceremony lasted three days.	شادي جي تقريب ٽن ڏينهن تائين هلي.
People celebrate festivals with great joy.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
The wedding ceremony lasted three days.	شادي جي تقريب ٽن ڏينهن تائين هلي.
The river flows peacefully through the valley.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Pollution in cities has become a serious problem.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
Learning a new language requires practice.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.
The professor wrote equations on the blackboard.	پروفيسر تختي تي مساوات لکيون.
Family members support each other during difficult times.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.
Online shopping has become popular.	آن لائن خريداري مقبول ٿي وئي آهي.
Pollution in cities has become a serious problem.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
Traditional music is important for our heritage.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.
Learning a new language requires practice.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.
Train journeys offer scenic views.	ريل جي سفرن منظرن جي نظارا پيش ڪن ٿا.
Handicrafts showcase artistic traditions.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
Small businesses create employment opportunities.	ننڍيون کاروبار روزگار جا موقعا پيدا ڪندا آهن.
My grandmother told me stories.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.
Pollution in cities has become a serious problem.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
Doctors recommend drinking plenty of water.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
Pollution in cities has become a serious problem.	شهرن ۾ آلودگي هڪ سنجيده مسئلو بڻجي وئي آهي.
Elderly people share wisdom and stories.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
The river flows peacefully through the valley.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.
People celebrate festivals with great joy.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
The river flows peacefully through the valley.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.
Clear communication prevents misunderstandings.	صاف رابطو غلط فهمين کي روڪي ٿو.
Doctors recommend drinking plenty of water.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
The market was crowded with people.	مارڪيٽ ماڻهن سان ڀريل هو.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Farmers wake up early to tend to crops.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.
Clear communication prevents misunderstandings.	صاف رابطو غلط فهمين کي روڪي ٿو.
Smartphones have changed how people communicate.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.
Online shopping has become popular.	آن لائن خريداري مقبول ٿي وئي آهي.
She cooked delicious biryani for the family.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.
Reading books improves vocabulary.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
