source	reference	translation
The river flows peacefully through the valley.	دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
Spices add flavor to traditional dishes.	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔
Sports teach teamwork and discipline.	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
Digital payments have made transactions faster.	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
Traditional music is important for our heritage.	روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
Storytelling preserves culture and knowledge.	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
Handicrafts showcase artistic traditions.	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
The wedding ceremony lasted three days.	شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔
People celebrate festivals with great joy.	لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
The river flows peacefully through the valley.	دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
Family members support each other during difficult times.	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
We decided to visit the old temple.	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔
She received a scholarship to study medicine.	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
Reading books improves vocabulary.	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
Train journeys offer scenic views.	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
She walked slowly through the garden.	اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
Tourism brings revenue to regions with historical sites.	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔	سیاحت تاریخی تھانواں والے علاقیاں کوں آمدنی لیندی اے۔
Children were playing cricket in the street.	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
Birds were chirping in the trees.	پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
Teachers shape young minds.	استاد نوجوان ذہناں کوں شکل دیندے نیں۔	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
People celebrate festivals with great joy.	لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
Cooking together brings family members closer.	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔
She walked slowly through the garden.	اوں باغ وچ آہستہ آہستہ ٹردی۔	اوں باغ وچ آہستہ آہستہ ٹردی۔
Sports teach teamwork and discipline.	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
After finishing his work, he sat down.	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
