source	reference	translation
The forest is home to many wild animals.	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔
Cooking together brings family members closer.	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔
Education opens doors to opportunities.	تعلیم مواقع کے دروازے کھولتی ہے۔	تعلیم مواقع کے دروازے کھولتی ہے۔
Farmers wake up early to tend to crops.	کسان فصلوں کی دیکھ بھال کے لیے جلدی اٹھتے ہیں۔	کسان فصلوں کی دیکھ بھال کے لیے جلدی اٹھتے ہیں۔
Children learn best when they are interested.	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔
The school organized a science fair.	اسکول نے سائنس میلہ منظم کیا۔	اسکول نے سائنس میلہ منظم کیا۔
Tourism brings revenue to regions with historical sites.	سیاحت تاریخی مقامات والے علاقوں میں آمدنی لاتی ہے۔	سیاحت تاریخی مقامات والے علاقوں میں آمدنی لاتی ہے۔
Tourism brings revenue to regions with historical sites.	سیاحت تاریخی مقامات والے علاقوں میں آمدنی لاتی ہے۔	سیاحت تاریخی مقامات والے علاقوں میں آمدنی لاتی ہے۔
The river flows peacefully through the valley.	دریا وادی میں پرامن طریقے سے بہتا ہے۔	دریا وادی میں پرامن طریقے سے بہتا ہے۔
The river flows peacefully through the valley.	دریا وادی میں پرامن طریقے سے بہتا ہے۔	دریا وادی میں پرامن طریقے سے بہتا ہے۔
We decided to visit the old temple.	ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔	ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔
I woke up early this morning.	میں آج صبح جلدی اٹھا۔	میں آج صبح جلدی اٹھا۔
The forest is home to many wild animals.	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔
Sports teach teamwork and discipline.	کھیل ٹیم ورک اور نظم و ضبط سکھاتے ہیں۔	کھیل ٹیم ورک اور نظم و ضبط سکھاتے ہیں۔
Doctors recommend drinking plenty of water.	ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔	ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔
Tea is served to guests as a gesture of hospitality.	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔
The forest is home to many wild animals.	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔
Agriculture remains the primary source of income.	زراعت آمدنی کا بنیادی ذریعہ رہتی ہے۔	زراعت آمدنی کا بنیادی ذریعہ رہتی ہے۔
Regular exercise helps maintain good health.	منظم ورزش اچھی صحت برقرار رکھنے میں مدد کرتی ہے۔	منظم ورزش اچھی صحت برقرار رکھنے میں مدد کرتی ہے۔
The forest is home to many wild animals.	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔
Tourism brings revenue to regions with historical sites.	سیاحت تاریخی مقامات والے علاقوں میں آمدنی لاتی ہے۔	سیاحت تاریخی مقامات والے علاقوں میں آمدنی لاتی ہے۔
She received a scholarship to study medicine.	اسے طب کی تعلیم کے لیے اسکالرشپ ملی۔	اسے طب کی تعلیم کے لیے اسکالرشپ ملی۔
Teachers shape young minds.	استاد نوجوان ذہنوں کو شکل دیتے ہیں۔	استاد نوجوان ذہنوں کو شکل دیتے ہیں۔
Traditional music is important for our heritage.	روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔	روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔
Small businesses create employment opportunities.	چھوٹے کاروبار روزگار کے مواقع پیدا کرتے ہیں۔	چھوٹے کاروبار روزگار کے مواقع پیدا کرتے ہیں۔
Children learn best when they are interested.	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔
Farmers planted rice in the flooded fields.	کسانوں نے پانی والے کھیتوں میں چاول بوئے۔	کسانوں نے پانی والے کھیتوں میں چاول بوئے۔
People celebrate festivals with great joy.	لوگ بہت خوشی سے تہوار مناتے ہیں۔	لوگ بہت خوشی سے تہوار مناتے ہیں۔
Students gathered in the library.	طلباء لائبریری میں جمع ہوئے۔	طلباء لائبریری میں جمع ہوئے۔
Family members support each other during difficult times.	خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔	خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔
Cooking together brings family members closer.	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔
Eating fresh fruits provides essential vitamins.	تازہ پھل کھانا ضروری وٹامن فراہم کرتا ہے۔	تازہ پھل کھانا ضروری وٹامن فراہم کرتا ہے۔
Handicrafts showcase artistic traditions.	دستی کاریاں فنکارانہ روایات دکھاتی ہیں۔	دستی کاریاں فنکارانہ روایات دکھاتی ہیں۔
Clear communication prevents misunderstandings.	صاف رابطہ غلط فہمیوں کو روکتا ہے۔	صاف رابطہ غلط فہمیوں کو روکتا ہے۔
Eating fresh fruits provides essential vitamins.	تازہ پھل کھانا ضروری وٹامن فراہم کرتا ہے۔	تازہ پھل کھانا ضروری وٹامن فراہم کرتا ہے۔
Train journeys offer scenic views.	ریل کے سفر مناظر کے نظارے پیش کرتے ہیں۔	ریل کے سفر مناظر کے نظارے پیش کرتے ہیں۔
She received a scholarship to study medicine.	اسے طب کی تعلیم کے لیے اسکالرشپ ملی۔	اسے طب کی تعلیم کے لیے اسکالرشپ ملی۔
Regular exercise helps maintain good health.	منظم ورزش اچھی صحت برقرار رکھنے میں مدد کرتی ہے۔	منظم ورزش اچھی صحت برقرار رکھنے میں مدد کرتی ہے۔
Pollution in cities has become a serious problem.	شہروں میں آلودگی ایک سنجیدہ مسئلہ بن گئی ہے۔	شہروں میں آلودگی ایک سنجیدہ مسئلہ بن گئی ہے۔
Eating fresh fruits provides essential vitamins.	تازہ پھل کھانا ضروری وٹامن فراہم کرتا ہے۔	تازہ پھل کھانا ضروری وٹامن فراہم کرتا ہے۔
Cricket is a popular sport.	کرکٹ ایک مقبول کھیل ہے۔	کرکٹ ایک مقبول کھیل ہے۔
The internet connects people across continents.	انٹرنیٹ براعظموں میں لوگوں کو جوڑتا ہے۔	انٹرنیٹ براعظموں میں لوگوں کو جوڑتا ہے۔
Train journeys offer scenic views.	ریل کے سفر مناظر کے نظارے پیش کرتے ہیں۔	ریل کے سفر مناظر کے نظارے پیش کرتے ہیں۔
The wedding ceremony lasted three days.	شادی کی تقریب تین دن تک چلی۔	شادی کی تقریب تین دن تک چلی۔
Learning a new language requires practice.	نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔	نئی زبان سیکھنے کے لیے مشق کی ضرورت ہے۔
The forest is home to many wild animals.	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔
Family members support each other during difficult times.	خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔	خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔
She cooked delicious biryani for the family.	اس نے خاندان کے لیے مزیدار بریانی پکائی۔	اس نے خاندان کے لیے مزیدار بریانی پکائی۔
Traditional music is important for our heritage.	روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔	روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔
Farmers wake up early to tend to crops.	کسان فصلوں کی دیکھ بھال کے لیے جلدی اٹھتے ہیں۔	کسان فصلوں کی دیکھ بھال کے لیے جلدی اٹھتے ہیں۔
Children learn best when they are interested.	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔	بچے بہترین سیکھتے ہیں جب وہ دلچسپی رکھتے ہیں۔
Farmers wake up early to tend to crops.	کسان فصلوں کی دیکھ بھال کے لیے جلدی اٹھتے ہیں۔	کسان فصلوں کی دیکھ بھال کے لیے جلدی اٹھتے ہیں۔
Doctors recommend drinking plenty of water.	ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔	ڈاکٹر زیادہ پانی پینے کی صلاح دیتے ہیں۔
Cooking together brings family members closer.	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔	مل کر کھانا پکانا خاندان کے ممبروں کو قریب لاتا ہے۔
After finishing his work, he sat down.	اپنا کام مکمل کرنے کے بعد، وہ بیٹھ گیا۔	اپنا کام مکمل کرنے کے بعد، وہ بیٹھ گیا۔
Tea is served to guests as a gesture of hospitality.	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔
Parents sacrifice their own needs for children.	والدین بچوں کے لیے اپنی ضرورتیں قربان کرتے ہیں۔	والدین بچوں کے لیے اپنی ضرورتیں قربان کرتے ہیں۔
Students gathered in the library.	طلباء لائبریری میں جمع ہوئے۔	طلباء لائبریری میں جمع ہوئے۔
Elderly people share wisdom and stories.	بزرگ لوگ حکمت اور کہانیاں بانٹتے ہیں۔	بزرگ لوگ حکمت اور کہانیاں بانٹتے ہیں۔
People celebrate festivals with great joy.	لوگ بہت خوشی سے تہوار مناتے ہیں۔	لوگ بہت خوشی سے تہوار مناتے ہیں۔
Tea is served to guests as a gesture of hospitality.	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔	مہمانوں کو مہمان نوازی کی نشانی کے طور پر چائے پیش کی جاتی ہے۔
Parents sacrifice their own needs for children.	والدین بچوں کے لیے اپنی ضرورتیں قربان کرتے ہیں۔	والدین بچوں کے لیے اپنی ضرورتیں قربان کرتے ہیں۔
We decided to visit the old temple.	ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔	ہم نے پرانے مندر کا دورہ کرنے کا فیصلہ کیا۔
Farmers planted rice in the flooded fields.	کسانوں نے پانی والے کھیتوں میں چاول بوئے۔	کسانوں نے پانی والے کھیتوں میں چاول بوئے۔
The internet connects people across continents.	انٹرنیٹ براعظموں میں لوگوں کو جوڑتا ہے۔	انٹرنیٹ براعظموں میں لوگوں کو جوڑتا ہے۔
Small businesses create employment opportunities.	چھوٹے کاروبار روزگار کے مواقع پیدا کرتے ہیں۔	چھوٹے کاروبار روزگار کے مواقع پیدا کرتے ہیں۔
Students gathered in the library.	طلباء لائبریری میں جمع ہوئے۔	طلباء لائبریری میں جمع ہوئے۔
Online shopping has become popular.	آن لائن خریداری مقبول ہو گئی ہے۔	آن لائن خریداری مقبول ہو گئی ہے۔
The wedding ceremony lasted three days.	شادی کی تقریب تین دن تک چلی۔	شادی کی تقریب تین دن تک چلی۔
The professor wrote equations on the blackboard.	پروفیسر نے تختے پر مساوات لکھیں۔	پروفیسر نے تختے پر مساوات لکھیں۔
