en_sentence	target_sentence
My grandmother told me stories.	زما نیا ما ماته کیسې وړې.
Students gathered in the library.	زده کوونکي په کتابتون کې راټول شول.
Traditional music is important for our heritage.	دودیز موسیقي زموږ د میراث لپاره مهمه ده.
The river flows peacefully through the valley.	سیند په دره کې په آرامۍ سره بهیږي.
Digital payments have made transactions faster.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.
Eating fresh fruits provides essential vitamins.	د تازه میوو خوړل اړین ویتامینونه برابروي.
Birds were chirping in the trees.	مرغۍ په ونو کې چغېدلې.
Handicrafts showcase artistic traditions.	دستي کارونه هنري دودونه ښکاره کوي.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
Eating fresh fruits provides essential vitamins.	د تازه میوو خوړل اړین ویتامینونه برابروي.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.
Children learn best when they are interested.	ماشومان غوره زده کوي کله چې دوی علاقه لري.
Digital payments have made transactions faster.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.
Students gathered in the library.	زده کوونکي په کتابتون کې راټول شول.
The market was crowded with people.	بازار د خلکو سره ډک و.
The wedding ceremony lasted three days.	د واده مراسم درې ورځې دوام وکړ.
Students gathered in the library.	زده کوونکي په کتابتون کې راټول شول.
The bus arrived late.	بس ورو ورو راغله.
Clear communication prevents misunderstandings.	روښانه اړیکه د ناپوهیو مخه نیسي.
The wedding ceremony lasted three days.	د واده مراسم درې ورځې دوام وکړ.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Digital payments have made transactions faster.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.
The market was crowded with people.	بازار د خلکو سره ډک و.
Farmers wake up early to tend to crops.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.
Digital payments have made transactions faster.	ډیجیټل تادیاتو معاملات ګړندي کړي دي.
Sports teach teamwork and discipline.	لوبې د ټیم کار او نظم زده کوي.
Children were playing cricket in the street.	ماشومان په سړک کې کریکټ لوبېدل.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Pollution in cities has become a serious problem.	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Smartphones have changed how people communicate.	سمارټ فونونو د خلکو د اړیکو لاره بدله کړې ده.
Small businesses create employment opportunities.	کوچني سوداګرۍ د دندو فرصتونه رامنځته کوي.
The bus arrived late.	بس ورو ورو راغله.
Children were playing cricket in the street.	ماشومان په سړک کې کریکټ لوبېدل.
Elderly people share wisdom and stories.	زړون خلک حکمت او کیسې شریکوي.
Farmers planted rice in the flooded fields.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.
Handicrafts showcase artistic traditions.	دستي کارونه هنري دودونه ښکاره کوي.
The teacher explained the lesson patiently.	استاد صبر سره درس تشریح کړ.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
The professor wrote equations on the blackboard.	پروفیسور په تختې کې معادلې ولیکلې.
Regular exercise helps maintain good health.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.
Family members support each other during difficult times.	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.
Learning a new language requires practice.	د نوې ژبې زده کړه تمرین ته اړتیا لري.
Birds were chirping in the trees.	مرغۍ په ونو کې چغېدلې.
Regular exercise helps maintain good health.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.
Storytelling preserves culture and knowledge.	کیسه ویل د کلتوري او پوهې ساتنه کوي.
Students gathered in the library.	زده کوونکي په کتابتون کې راټول شول.
My grandmother told me stories.	زما نیا ما ماته کیسې وړې.
Regular exercise helps maintain good health.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.
Farmers planted rice in the flooded fields.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.
The market was crowded with people.	بازار د خلکو سره ډک و.
The internet connects people across continents.	انټرنیټ د براعظمونو په اوږدو کې خلک سره نښلوي.
Pollution in cities has become a serious problem.	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.
The professor wrote equations on the blackboard.	پروفیسور په تختې کې معادلې ولیکلې.
Online shopping has become popular.	آنلاین پلورلې محبوبه شوې ده.
Regular exercise helps maintain good health.	منظم تمرین د ښه روغتیا ساتلو کې مرسته کوي.
Pollution in cities has become a serious problem.	په ښارونو کې ککړتیا یوه سخت ستونزه شوې ده.
She cooked delicious biryani for the family.	هغې د کورنۍ لپاره خوندور بریاني پخ کړه.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.
The forest is home to many wild animals.	ځنګل د ډیرو وحشي حیواناتو کور دی.
Spices add flavor to traditional dishes.	مسالې دودیزو خوړلو ته خوند ورکوي.
Cricket is a popular sport.	کریکټ یوه مشهوره لوبه ده.
Farmers wake up early to tend to crops.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.
The forest is home to many wild animals.	ځنګل د ډیرو وحشي حیواناتو کور دی.
Learning a new language requires practice.	د نوې ژبې زده کړه تمرین ته اړتیا لري.
Tourism brings revenue to regions with historical sites.	سیاحت د تاریخي سایټونو سیمو ته عاید راولي.
The market was crowded with people.	بازار د خلکو سره ډک و.
The teacher explained the lesson patiently.	استاد صبر سره درس تشریح کړ.
My grandmother told me stories.	زما نیا ما ماته کیسې وړې.
She received a scholarship to study medicine.	هغې د طب زده کړې لپاره بورسیه ترلاسه کړه.
Doctors work long hours to treat patients.	داکتران د ناروغانو درملنې لپاره اوږد ساعتونه کار کوي.
The bus arrived late.	بس ورو ورو راغله.
She received a scholarship to study medicine.	هغې د طب زده کړې لپاره بورسیه ترلاسه کړه.
The forest is home to many wild animals.	ځنګل د ډیرو وحشي حیواناتو کور دی.
She received a scholarship to study medicine.	هغې د طب زده کړې لپاره بورسیه ترلاسه کړه.
I woke up early this morning.	زه نن سهار وختي پاړ شوم.
She walked slowly through the garden.	هغې په باغ کې ورو ورو تېره شوه.
Respecting elders is an important value.	د زړونو درناوی مهمه ارزښت دی.
She received a scholarship to study medicine.	هغې د طب زده کړې لپاره بورسیه ترلاسه کړه.
The teacher explained the lesson patiently.	استاد صبر سره درس تشریح کړ.
Farmers wake up early to tend to crops.	کرهڼه کونکي د محصولاتو پاملرنې لپاره وختي پاړ کېږي.
Agriculture remains the primary source of income.	کرهڼه د عاید اصلي سرچینه پاتې ده.
Sports teach teamwork and discipline.	لوبې د ټیم کار او نظم زده کوي.
The river flows peacefully through the valley.	سیند په دره کې په آرامۍ سره بهیږي.
Education opens doors to opportunities.	زده کړه د فرصتونو دروازې خلاصوي.
The professor wrote equations on the blackboard.	پروفیسور په تختې کې معادلې ولیکلې.
Education opens doors to opportunities.	زده کړه د فرصتونو دروازې خلاصوي.
Doctors recommend drinking plenty of water.	داکتران د ډیرو اوبو څښل وړاندیز کوي.
Farmers planted rice in the flooded fields.	کرهڼه کونکي د اوبو لاندې کروندو کې وريجې وکړې.
