en_sentence	target_sentence
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
After finishing his work, he sat down.	اپݨا کم مکمل کرݨ دے بعد، او بیٹھ گیا۔
Small businesses create employment opportunities.	نکیاں کاروبار روزگار دے موقعے پیدا کریندے نیں۔
The bus arrived late.	بس ڈیر نال پہنچی۔
The bus arrived late.	بس ڈیر نال پہنچی۔
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
Students gathered in the library.	طالب علم لائبریری وچ گڈے تھئے۔
Traditional music is important for our heritage.	روایتی موسیقی ساݙی ورثے کیتے اہم اے۔
Children learn best when they are interested.	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
Reading books improves vocabulary.	کتاباں پڑھݨ ذخیرہ الفاظ بہتر بݨیندے۔
Respecting elders is an important value.	بزرگاں دا احترام ہک اہم قدر اے۔
The forest is home to many wild animals.	جنگل گھنے جنگلی جانوراں دا گھر اے۔
Doctors work long hours to treat patients.	ڈاکٹر مریضاں دا علاج کرݨ کیتے لمبیاں گھڑیاں کم کریندے نیں۔
My grandmother told me stories.	میری دادی نے مینوں کہانیاں سݨایاں۔
Doctors recommend drinking plenty of water.	ڈاکٹر گھنے پاݨی پیوݨ دی صلاح ݙیندے نیں۔
I woke up early this morning.	میں اڄ صبح جلدی اٹھیا۔
The school organized a science fair.	سکول نے سائنس میلہ منظم کیتا۔
After finishing his work, he sat down.	اپݨا کم مکمل کرݨ دے بعد، او بیٹھ گیا۔
The internet connects people across continents.	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
Cooking together brings family members closer.	گڈے کھاݨ پکاوݨ خاندان دے ممبراں کوں نیڑے لیندے۔
Birds were chirping in the trees.	پنچھی رکھاں وچ چہچہا رہے ہن۔
Digital payments have made transactions faster.	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
After finishing his work, he sat down.	اپݨا کم مکمل کرݨ دے بعد، او بیٹھ گیا۔
