EN	PAN	PBT	SND	SKR	URD	BAL	HND	BRH
She cooked delicious biryani for the family.	اوں خاندان کیتے مزیدار بریانی پکائی۔	هغې د کورنۍ لپاره خوندور بریاني پخ کړه.	هوءَ خاندان لاءِ مزيدار برياني پاڻي.	اوں خاندان کیتے مزیدار بریانی پکائی۔	اس نے خاندان کے لیے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
Traditional music is important for our heritage.	روایتی موسیقی سادی ورثے کیتے اہم اے۔	دودیز موسیقي زموږ د میراث لپاره مهمه ده.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.	روایتی موسیقی ساݙی ورثے کیتے اہم اے۔	روایتی موسیقی ہماری وراثت کے لیے اہم ہے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
The wedding ceremony lasted three days.	شادی دی تقریب ترئے دینہہ چلی۔	د واده مراسم درې ورځې دوام وکړ.	شادي جي تقريب ٽن ڏينهن تائين هلي.	شادی دی تقریب ترئے ݙینہہ چلی۔	شادی کی تقریب تین دن تک چلی۔	شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔
Children were playing cricket in the street.	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	ماشومان په سړک کې کریکټ لوبېدل.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک پر کرکٹ کھیل رہے تھے۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
The forest is home to many wild animals.	جنگل گھنے جنگلی جانوراں دا گھر اے۔	ځنګل د ډیرو وحشي حیواناتو کور دی.	جنگل گهڻن جنگلي جانورن جو گهر آهي.	جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل بہت سے جنگلی جانوروں کا گھر ہے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔
Family members support each other during difficult times.	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	د کورنۍ غړي د ستونزمنو وختونو کې یو بل ساتنه کوي.	خاندان جا ميمبر مشڪل وقتن ۾ هڪ ٻئي جي مدد ڪندا آهن.	خاندان دے ممبر مشکل وختاں وچ ہک ݙوجھے دی مدد کریندے نیں۔	خاندان کے ممبر مشکل وقتوں میں ایک دوسرے کی مدد کرتے ہیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
Reading books improves vocabulary.	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	د کتابونو لوستل د لغت ښه والی کوي.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	کتاباں پڑھݨ ذخیرہ الفاظ بہتر بݨیندے۔	کتابیں پڑھنا ذخیرہ الفاظ بہتر بناتا ہے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
Parents sacrifice their own needs for children.	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔	والدین د ماشومانو لپاره خپل اړتیاوې قربان کوي.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدین بچیاں کیتے اپݨیاں ضرورتاں قربان کریندے نیں۔	والدین بچوں کے لیے اپنی ضرورتیں قربان کرتے ہیں۔	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔
Birds were chirping in the trees.	پنچھی رکھاں وچ چہچہا رہے ہن۔	مرغۍ په ونو کې چغېدلې.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.	پنچھی رکھاں وچ چہچہا رہے ہن۔	پرندے درختوں میں چہچہا رہے تھے۔	پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
The professor wrote equations on the blackboard.	پروفیسر تختے تے مساوات لکھیاں۔	پروفیسور په تختې کې معادلې ولیکلې.	پروفيسر تختي تي مساوات لکيون.	پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر نے تختے پر مساوات لکھیں۔	پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
