en_sentence	target_sentence
The wedding ceremony lasted three days.	شادی دی تقریب ترئے دینہہ چلی۔
We decided to visit the old temple.	اساں پرانے مندر دیکھن دا فیصلہ کیتا۔
Parents sacrifice their own needs for children.	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔
Sports teach teamwork and discipline.	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
My grandmother told me stories.	میری دادی نے مینوں کہانیاں سنایاں۔
Children learn best when they are interested.	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
Children were playing cricket in the street.	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
She walked slowly through the garden.	اوں باغ وچ آہستہ آہستہ ٹردی۔
The bus arrived late.	بس ڈیر نال پہنچی۔
The bus arrived late.	بس ڈیر نال پہنچی۔
Teachers shape young minds.	استاد نوجوان ذہناں کوں شکل دیندے نیں۔
Birds were chirping in the trees.	پنچھی رکھاں وچ چہچہا رہے ہن۔
The teacher explained the lesson patiently.	استاد صبر نال سبق سمجھایا۔
Respecting elders is an important value.	بزرگاں دا احترام ہک اہم قدر اے۔
The bus arrived late.	بس ڈیر نال پہنچی۔
Pollution in cities has become a serious problem.	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔
Farmers planted rice in the flooded fields.	کسان پانی والے کھیتراں وچ چاول پوکے۔
The river flows peacefully through the valley.	دریا وادی وچ پرامن طریقے نال وہندی اے۔
Family members support each other during difficult times.	خاندان دے ممبر مشکل وختاں وچ ہک دوجھے دی مدد کریندے نیں۔
Doctors recommend drinking plenty of water.	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
She walked slowly through the garden.	اوں باغ وچ آہستہ آہستہ ٹردی۔
She cooked delicious biryani for the family.	اوں خاندان کیتے مزیدار بریانی پکائی۔
Reading books improves vocabulary.	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
Elderly people share wisdom and stories.	بزرگ لوک حکمت تے کہانیاں سانجھیاں کریندے نیں۔
